ja;n;jp;s;sc;madm;mev;mabs;nro;nmate;lm;nlm;h;sp
B;B10816060;MUNICIPIUL BUCURESTI;Liceul Teoretic Eugen Lovinescu;134;8.86;8.65;9.70;8.25;9.05;-;-;<b>Liceul Teoretic Eugen Lovinescu</b><br/>Real/Liceal/Zi;<b>(368) Matematică-Informatică</b><br/>Limba română
B;B11013659;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;7.42;6.92;9.42;8.65;5.20;-;-;<b>Liceul cu Program Sportiv Mircea Eliade</b><br/>Umanist/Liceal/Zi;<b>(393) Ştiinţe Sociale</b><br/>Limba română
B;B10686691;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 163;226;5.85;5.37;7.79;5.15;5.60;-;-;<b>Liceul Tehnologic Dacia</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(317) Protecţia mediului</b><br/>Limba română
B;B10811538;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 197;239;8.67;8.42;9.68;8.50;8.35;-;-;<b>Liceul Teoretic Jean Monnet</b><br/>Umanist/Liceal/Zi;<b>(132) Ştiinţe Sociale</b><br/>Limba română
B;B8885379;MUNICIPIUL BUCURESTI;Şcoala Gimnazială General Eremia Grigorescu;164;7.39;7.10;8.57;7.20;7.00;-;-;<b>Colegiul Tehnic Mecanic Griviţa</b><br/>Umanist/Liceal/Zi;<b>(162) Filologie</b><br/>Limba română
B;B10774726;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;6.23;5.55;8.95;6.90;4.20;-;-;<b>Colegiul Tehnic Gheorghe Asachi</b><br/>Tehnic/Liceal/Zi;<b>(396) Producţie media</b><br/>Limba română
B;B10583315;MUNICIPIUL BUCURESTI;Colegiul Naţional de Informatică Tudor Vianu;111;9.85;9.82;9.98;9.75;9.90;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B10858176;MUNICIPIUL BUCURESTI;Colegiul Naţional Mihai Eminescu;109;8.65;8.37;9.80;7.70;9.05;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Real/Liceal/Zi;<b>(331) Matematică-Informatică</b><br/>Limba română
B;B10761703;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Alexandru Costescu;159;6.33;5.77;8.58;6.15;5.40;-;-;<b>Colegiul Tehnic Media</b><br/>Real/Liceal/Zi;<b>(160) Ştiinţe ale Naturii</b><br/>Limba română
B;B10512067;MUNICIPIUL BUCURESTI;Școala Gimnazială „Orizont;330;9.68;9.60;10.00;9.35;9.85;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Umanist/Liceal/Zi;<b>(359) Ştiinţe Sociale</b><br/>Limba română
B;B10785848;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 149;279;6.63;6.12;8.71;5.35;6.90;-;-;<b>Liceul Tehnologic Dacia</b><br/>Tehnic/Liceal/Zi;<b>(316) Electric</b><br/>Limba română
B;B10997080;MUNICIPIUL BUCURESTI;Școala Gimnazială Cezar Bolliac;269;9.03;8.92;9.49;9.05;8.80;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B10996969;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. G. Duca;170;9.61;9.57;9.81;9.70;9.45;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Real/Liceal/Zi;<b>(357) Ştiinţe ale Naturii</b><br/>Limba română
B;B10759274;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;7.73;7.45;8.85;7.70;7.20;-;-;<b>Colegiul Economic Costin C. Kiriţescu</b><br/>Servicii/Liceal/Zi;<b>(400) Economic</b><br/>Limba română
B;B10809620;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;6.48;5.80;9.22;6.55;5.05;-;-;<b>Colegiul Tehnic Energetic</b><br/>Umanist/Liceal/Zi;<b>(336) Filologie</b><br/>Limba română
B;B10667836;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Constantin Brâncuşi;160;7.72;7.35;9.24;8.50;6.20;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Real/Liceal/Zi;<b>(361) Ştiinţe ale Naturii</b><br/>Limba română
B;B10705291;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;8.86;8.62;9.83;9.20;8.05;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Real/Liceal/Zi;<b>(293) Matematică-Informatică</b><br/>Limba română
B;B11043666;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;6.03;5.47;8.29;6.30;4.65;-;-;<b>Liceul Teoretic Nichita Stănescu</b><br/>Real/Liceal/Zi;<b>(263) Matematică-Informatică</b><br/>Limba română
B;B7952197;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 190;236;7.99;7.57;9.71;8.50;6.65;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B10830020;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;9.63;9.55;9.99;9.10;10.00;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Real/Liceal/Zi;<b>(297) Matematică-Informatică</b><br/>Limba română
B;B10816110;MUNICIPIUL BUCURESTI;Liceul Teoretic Eugen Lovinescu;134;8.06;7.70;9.51;7.20;8.20;-;-;<b>Liceul Teoretic Eugen Lovinescu</b><br/>Real/Liceal/Zi;<b>(368) Matematică-Informatică</b><br/>Limba română
B;B10759307;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;9.17;8.97;10.00;8.85;9.10;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Umanist/Liceal/Zi;<b>(299) Filologie</b><br/>Limba română
B;B10912568;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 280;243;9.85;9.82;10.00;9.85;9.80;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Umanist/Liceal/Zi;<b>(322) Filologie</b><br/>Limba română
B;B10899381;MUNICIPIUL BUCURESTI;Școala Gimnazială Barbu Delavrancea;256;5.50;4.92;7.83;5.85;4.00;-;-;<b>Colegiul Tehnic Costin D. Nenițescu</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(273) Chimie industrială</b><br/>Limba română
B;IF9169600;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 BRAGADIRU;137;8.92;8.75;9.60;9.40;8.10;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Umanist/Liceal/Zi;<b>(295) Filologie</b><br/>Limba română
B;B10744662;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;8.77;8.57;9.57;8.70;8.45;-;-;<b>Liceul Teoretic Dante Alighieri</b><br/>Real/Liceal/Zi;<b>(254) Matematică-Informatică</b><br/>Limba română
B;IF9360961;ILFOV;ȘCOALA GIMNAZIALĂ IOAN BĂDESCU POPEȘTI LEORDENI;129;7.46;7.07;9.06;8.05;6.10;-;-;<b>Colegiul Romano-Catolic Sfântul Iosif</b><br/>Real/Liceal/Zi;<b>(308) Ştiinţe ale Naturii</b><br/>Limba română
B;B11015393;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 41;295;5.43;4.62;8.69;5.25;4.00;-;-;<b>Liceul Tehnologic ”Constantin Brâncuși”</b><br/>Tehnic/Liceal/Zi;<b>(236) Fabricarea produselor din lemn</b><br/>Limba română
B;B8064243;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Geo Bogza;165;7.88;7.57;9.16;8.55;6.60;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Umanist/Liceal/Zi;<b>(363) Ştiinţe Sociale</b><br/>Limba română
B;B11093505;MUNICIPIUL BUCURESTI;Școala Gimnazială Voievod Neagoe Basarab;267;5.98;5.25;8.94;6.75;3.75;-;-;<b>Liceul Tehnologic Dragomir Hurmuzescu</b><br/>Servicii/Liceal/Zi;<b>(290) Estetica şi igiena corpului omenesc</b><br/>Limba română
B;B10844087;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 62;303;6.52;6.00;8.60;6.25;5.75;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Real/Liceal/Zi;<b>(212) Ştiinţe ale Naturii</b><br/>Limba română
B;B10291560;MUNICIPIUL BUCURESTI;Școala Gimnazială Alexandru Ioan Cuza;254;8.75;8.52;9.67;8.85;8.20;-;-;<b>Liceul Teoretic Ion Barbu</b><br/>Real/Liceal/Zi;<b>(324) Matematică-Informatică</b><br/>Limba română
B;B10667943;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Constantin Brâncuşi;160;9.75;9.70;9.98;9.40;10.00;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;B10798689;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 46;296;9.83;9.80;9.97;9.60;10.00;-;-;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Real/Liceal/Zi;<b>(186) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10733905;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfântul Andrei;190;8.52;8.25;9.64;8.60;7.90;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(367) Ştiinţe Sociale</b><br/>Limba română
B;B10798769;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;6.77;6.20;9.05;6.85;5.55;-;-;<b>Colegiul Tehnologic Viaceslav Harnaj</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(178) Agricultură</b><br/>Limba română
B;B10828056;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 59;247;6.44;6.07;7.92;5.65;6.50;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Umanist/Liceal/Zi;<b>(225) Ştiinţe Sociale</b><br/>Limba română
B;B10617069;MUNICIPIUL BUCURESTI;Școala Gimnazială nr.307;321;9.26;9.12;9.85;8.90;9.35;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;B10289042;MUNICIPIUL BUCURESTI;Școala Gimnazială Alexandru Ioan Cuza;254;8.38;8.02;9.83;7.70;8.35;-;-;<b>Liceul Teoretic Dante Alighieri</b><br/>Real/Liceal/Zi;<b>(254) Matematică-Informatică</b><br/>Limba română
B;B10873423;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 144;220;7.14;6.62;9.26;7.00;6.25;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Umanist/Liceal/Zi;<b>(136) Ştiinţe Sociale</b><br/>Limba română
B;B10590017;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfântul Andrei;190;7.04;6.52;9.14;7.20;5.85;-;-;<b>Colegiul Tehnic Petru Maior</b><br/>Tehnic/Liceal/Zi;<b>(382) Electric</b><br/>Limba română
B;B10983784;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;7.97;7.55;9.65;6.10;9.00;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Umanist/Liceal/Zi;<b>(306) Filologie</b><br/>Limba română
B;B10688823;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;8.56;8.27;9.73;9.40;7.15;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(203) Filologie</b><br/>Limba română/Limba franceză
B;B10629301;MUNICIPIUL BUCURESTI;Liceul Teoretic Internațional de Informatică Bucuresti;146;9.33;9.20;9.87;9.05;9.35;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;IF9347112;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 BERCENI;136;5.06;4.25;8.33;5.50;3.00;-;-;<b>Liceul Tehnologic Ion I.C. Brătianu</b><br/>Tehnic/Liceal/Zi;<b>(239) Mecanică</b><br/>Limba română
B;B11106467;MUNICIPIUL BUCURESTI;Liceul Teoretic Dante Alighieri;131;7.79;7.31;9.73;7.95;5.00;Limba italiană;9.00;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Umanist/Liceal/Zi;<b>(189) Filologie</b><br/>Limba română/Limba spaniolă
B;B10708262;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 81;311;9.18;9.02;9.85;9.25;8.80;-;-;<b>Colegiul Național Matei Basarab</b><br/>Umanist/Liceal/Zi;<b>(250) Ştiinţe Sociale</b><br/>Limba română
B;B10600041;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 197;239;8.75;8.67;9.07;8.40;8.95;-;-;<b>Colegiul Naţional Elena Cuza</b><br/>Umanist/Liceal/Zi;<b>(355) Filologie</b><br/>Limba română
B;B10730019;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 188;235;5.76;5.05;8.60;6.00;4.10;-;-;<b>Colegiul Tehnic Energetic</b><br/>Servicii/Liceal/Zi;<b>(337) Turism şi alimentaţie</b><br/>Limba română
B;B10855828;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;7.26;6.75;9.34;7.35;6.15;-;-;<b>Liceul Teoretic Benjamin Franklin</b><br/>Real/Liceal/Zi;<b>(260) Matematică-Informatică</b><br/>Limba română
B;B9188951;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfântul Andrei;190;7.71;7.25;9.57;8.35;6.15;-;-;<b>Liceul Teoretic Ștefan Odobleja</b><br/>Real/Liceal/Zi;<b>(331) Matematică-Informatică</b><br/>Limba română
B;B10789654;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 56;302;6.90;6.32;9.22;7.15;5.50;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Real/Liceal/Zi;<b>(212) Ştiinţe ale Naturii</b><br/>Limba română
B;B10997213;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;7.99;7.72;9.10;7.70;7.75;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Real/Liceal/Zi;<b>(305) Matematică-Informatică</b><br/>Limba română
B;IF8563069;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 JILAVA;151;8.34;7.95;9.92;8.40;7.50;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Real/Liceal/Zi;<b>(365) Ştiinţe ale Naturii</b><br/>Limba română
B;B10979449;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. G. Duca;170;9.22;9.10;9.72;9.00;9.20;-;-;<b>Colegiul Național Matei Basarab</b><br/>Real/Liceal/Zi;<b>(247) Matematică-Informatică</b><br/>Limba română
B;B11006602;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 309;244;7.44;7.10;8.80;7.40;6.80;-;-;<b>Colegiul Economic Costin C. Kiriţescu</b><br/>Servicii/Liceal/Zi;<b>(400) Economic</b><br/>Limba română
B;IL9662438;IALOMITA;LICEUL TEHNOLOGIC FIERBINŢI-TÂRG;107;9.33;9.22;9.81;9.60;8.85;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;B10771468;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Tudor Arghezi”;329;7.93;7.57;9.38;8.15;7.00;-;-;<b>Liceul Greco-Catolic Timotei Cipariu</b><br/>Real/Liceal/Zi;<b>(155) Matematică-Informatică</b><br/>Limba română
B;B10769645;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 179;231;9.43;9.32;9.90;9.00;9.65;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(105) Matematică-Informatică</b><br/>Limba română
B;B10987891;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;9.72;9.67;9.94;9.35;10.00;-;-;<b>Colegiul Naţional Sfântul Sava</b><br/>Real/Liceal/Zi;<b>(101) Matematică-Informatică</b><br/>Limba română
B;B12595572;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Titu Maiorescu;191;8.41;8.17;9.38;8.00;8.35;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B10685893;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 163;226;7.70;7.32;9.24;6.65;8.00;-;-;<b>Colegiul Economic Costin C. Kiriţescu</b><br/>Servicii/Liceal/Zi;<b>(400) Economic</b><br/>Limba română
B;B10818009;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfânta Treime;189;5.30;4.62;8.05;5.05;4.20;-;-;<b>Colegiul Tehnic Iuliu Maniu</b><br/>Tehnic/Liceal/Zi;<b>(390) Mecanică</b><br/>Limba română
B;B10767729;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfintii Voievozi;187;6.31;5.82;8.30;6.15;5.50;-;-;<b>Colegiul Tehnic Dinicu Golescu</b><br/>Servicii/Liceal/Zi;<b>(158) Turism şi alimentaţie</b><br/>Limba română
B;B10512288;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 197;239;8.68;8.45;9.64;7.65;9.25;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(202) Filologie</b><br/>Limba română
B;B11081561;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 125;207;4.80;3.75;9.02;5.00;2.50;-;-;<b>Colegiul Tehnic Mircea cel Bătrân</b><br/>Servicii/Liceal/Zi;<b>(172) Economic</b><br/>Limba română
B;B11040908;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Herăstrău;169;8.96;8.80;9.60;8.75;8.85;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Umanist/Liceal/Zi;<b>(140) Filologie</b><br/>Limba română
B;B10798737;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 46;296;9.44;9.32;9.92;9.60;9.05;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;IF8116459;ILFOV;ȘCOALA GIMNAZIALĂ GHEORGHE CORNELIU DOMNEȘTI;128;7.52;7.12;9.13;7.40;6.85;-;-;<b>Colegiul Economic Viilor</b><br/>Servicii/Liceal/Zi;<b>(351) Economic</b><br/>Limba română
B;B11072291;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Elena Văcărescu;161;7.11;6.72;8.70;6.70;6.75;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Real/Liceal/Zi;<b>(328) Ştiinţe ale Naturii</b><br/>Limba română
B;IF8250894;ILFOV;ȘCOALA GIMNAZIALĂ ALEXANDRU DIMITRIE GHICA CĂCIULAȚI - MOARA VLĂSIEI;125;7.53;6.97;9.78;8.95;5.00;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Umanist/Liceal/Zi;<b>(362) Filologie</b><br/>Limba română
B;B10795848;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Titu Maiorescu;191;8.54;8.35;9.32;8.60;8.10;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(218) Matematică-Informatică</b><br/>Limba română
B;B10811100;MUNICIPIUL BUCURESTI;Școala Gimnazială „Regina Maria;331;8.65;8.35;9.88;7.85;8.85;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Real/Liceal/Zi;<b>(364) Matematică-Informatică</b><br/>Limba română
B;IF8240282;ILFOV;ȘCOALA GIMNAZIALĂ NR. 2 CĂŢELU - GLINA;160;5.57;4.92;8.20;5.35;4.50;-;-;<b>Liceul Tehnologic ”Constantin Brâncuși”</b><br/>Tehnic/Liceal/Zi;<b>(236) Fabricarea produselor din lemn</b><br/>Limba română
B;B6821601;MUNICIPIUL BUCURESTI;Liceul Teoretic Genesis College;135;8.38;8.05;9.74;8.30;7.80;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Umanist/Liceal/Zi;<b>(165) Filologie</b><br/>Limba română
B;B10797471;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;8.57;8.32;9.59;8.25;8.40;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Umanist/Liceal/Zi;<b>(165) Filologie</b><br/>Limba română
B;B10348495;MUNICIPIUL BUCURESTI;Colegiul Naţional de Muzică George Enescu;112;6.80;6.25;9.04;6.20;6.30;-;-;<b>Colegiul Tehnic Mircea cel Bătrân</b><br/>Servicii/Liceal/Zi;<b>(172) Economic</b><br/>Limba română
B;B10734432;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 40;294;8.28;8.05;9.20;8.00;8.10;-;-;<b>Colegiul Național ”Victor Babeș”</b><br/>Umanist/Liceal/Zi;<b>(208) Filologie</b><br/>Limba română
B;TR8613752;TELEORMAN;ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE ALEXANDRIA;124;8.80;8.67;9.35;8.75;8.60;-;-;<b>Colegiul Naţional Elena Cuza</b><br/>Umanist/Liceal/Zi;<b>(355) Filologie</b><br/>Limba română
B;B10622201;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 27;287;8.70;8.47;9.62;8.40;8.55;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Real/Liceal/Zi;<b>(145) Matematică-Informatică</b><br/>Limba română
B;B10703702;MUNICIPIUL BUCURESTI;Colegiul Naţional I.L.Caragiale;107;8.91;8.82;9.31;8.30;9.35;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Umanist/Liceal/Zi;<b>(112) Filologie</b><br/>Limba română/Limba germană
B;B10627431;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 27;287;9.53;9.42;9.97;9.65;9.20;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Real/Liceal/Zi;<b>(191) Matematică-Informatică</b><br/>Limba română
B;TR8774182;TELEORMAN;ȘCOALA GIMNAZIALĂ SÂRBENI;202;7.97;7.52;9.80;8.15;6.90;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Real/Liceal/Zi;<b>(361) Ştiinţe ale Naturii</b><br/>Limba română
B;B10688754;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 113;202;8.98;8.87;9.42;8.65;9.10;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;IF10166790;ILFOV;ȘCOALA GIMNAZIALĂ PROF. ION VIŞOIU CHITILA;134;8.70;8.45;9.74;8.90;8.00;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(367) Ştiinţe Sociale</b><br/>Limba română
B;B10431977;MUNICIPIUL BUCURESTI;Liceul cu Program Sportiv Mircea Eliade;153;7.14;6.52;9.66;7.05;6.00;-;-;<b>Liceul Teoretic Bulgar Hristo Botev</b><br/>Real/Liceal/Zi;<b>(149) Matematică-Informatică</b><br/>Limba română
B;B11076620;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 190;236;7.16;6.85;8.41;7.10;6.60;-;-;<b>Liceul Teoretic Decebal</b><br/>Umanist/Liceal/Zi;<b>(268) Ştiinţe Sociale</b><br/>Limba română
B;B10830901;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 6;248;6.17;5.40;9.26;6.80;4.00;-;-;<b>Colegiul Tehnic de Aeronautică Henri Coandă</b><br/>Tehnic/Liceal/Zi;<b>(168) Mecanică</b><br/>Limba română
B;B10671920;MUNICIPIUL BUCURESTI;Liceul Teoretic Marin Preda;138;7.59;7.35;8.58;7.65;7.05;-;-;<b>Liceul Teoretic Marin Preda</b><br/>Umanist/Liceal/Zi;<b>(363) Ştiinţe Sociale</b><br/>Limba română
B;IF12847470;ILFOV;ŞCOALA GIMNAZIALĂ DISCOVERY VOLUNTARI;118;9.62;9.55;9.91;9.80;9.30;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(109) Ştiinţe ale Naturii</b><br/>Limba română
B;B10694001;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 189;281;7.40;6.97;9.13;7.15;6.80;-;-;<b>Liceul Teoretic Nichita Stănescu</b><br/>Umanist/Liceal/Zi;<b>(264) Ştiinţe Sociale</b><br/>Limba română
B;B10913269;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 280;243;8.52;8.30;9.43;8.40;8.20;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Real/Liceal/Zi;<b>(327) Matematică-Informatică</b><br/>Limba română
B;IF8173389;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 CORNETU;144;8.52;8.17;9.95;8.25;8.10;-;-;<b>Colegiul Tehnic Petru Maior</b><br/>Real/Liceal/Zi;<b>(378) Matematică-Informatică</b><br/>Limba română
B;B11060148;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 82;312;9.39;9.25;9.99;9.25;9.25;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;B11095096;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 131;213;7.24;6.92;8.54;7.35;6.50;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Umanist/Liceal/Zi;<b>(329) Filologie</b><br/>Limba română
B;B8738636;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Elena Văcărescu;161;9.59;9.52;9.91;9.30;9.75;-;-;<b>Colegiul Național ”Cantemir Vodă”</b><br/>Real/Liceal/Zi;<b>(182) Matematică-Informatică</b><br/>Limba română
B;IF8797388;ILFOV;ŞCOALA GIMNAZIALA NR. 1 PANTELIMON;116;6.85;6.27;9.20;6.10;6.45;-;-;<b>Liceul Tehnologic Elie Radu</b><br/>Servicii/Liceal/Zi;<b>(287) Economic</b><br/>Limba română
B;B10743145;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 81;311;8.89;8.75;9.49;9.40;8.10;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Real/Liceal/Zi;<b>(293) Matematică-Informatică</b><br/>Limba română
B;IF10724435;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 GLINA;147;6.94;6.57;8.45;6.85;6.30;-;-;<b>Colegiul Tehnic Costin D. Nenițescu</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(274) Protecţia mediului</b><br/>Limba română
B;IF9740835;ILFOV;ŞCOALA GIMNAZIALA NR. 2 VOLUNTARI;117;5.93;5.30;8.49;5.60;5.00;-;-;<b>Colegiul Tehnic de Aeronautică Henri Coandă</b><br/>Tehnic/Liceal/Zi;<b>(169) Electromecanică</b><br/>Limba română
B;B10911566;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Petre Ghelmez;180;8.93;8.70;9.88;8.40;9.00;-;-;<b>Colegiul Naţional Mihai Eminescu</b><br/>Real/Liceal/Zi;<b>(293) Matematică-Informatică</b><br/>Limba română
B;TR8246912;TELEORMAN;ȘCOALA GIMNAZIALĂ NR. 2 VIDELE;176;8.53;8.20;9.87;8.95;7.45;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Umanist/Liceal/Zi;<b>(135) Filologie</b><br/>Limba română
